,title,link,salary_min,salary_max,currency,site
38,Разработчик Python,https://hh.ru/vacancy/50563570?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,100000.0,200000.0,руб.,https://hh.ru
39,Python - разработчик,https://hh.ru/vacancy/50672961?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,,,,https://hh.ru
40,Python developer (middle/senior),https://hh.ru/vacancy/51658170?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,200000.0,400000.0,руб.,https://hh.ru
41,Python-разработчик (middle),https://hh.ru/vacancy/51702992?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,150000.0,,руб.,https://hh.ru
42,Software Developer Python,https://hh.ru/vacancy/50950040?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,60000.0,180000.0,руб.,https://hh.ru
43,Python backend разработчик,https://hh.ru/vacancy/50888786?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,140000.0,160000.0,руб.,https://hh.ru
44,Python Middle разработчик,https://hh.ru/vacancy/50796151?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,180000.0,,руб.,https://hh.ru
45,TeamLead Python ML,https://hh.ru/vacancy/50708565?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,400000.0,600000.0,руб.,https://hh.ru
46,Младший компьютерный лингвист (Python) / Junior Data Scientist,https://hh.ru/vacancy/48944828?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,120000.0,,руб.,https://hh.ru
47,Разработчик Python,https://hh.ru/vacancy/49648908?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,200000.0,,руб.,https://hh.ru
48,Разработчик Python (parsing),https://hh.ru/vacancy/50934911?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,,1000.0,EUR,https://hh.ru
49,Middle/Senior Python Developer,https://hh.ru/vacancy/50636262?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,180000.0,300000.0,руб.,https://hh.ru
50,Разработчик C# / Python,https://hh.ru/vacancy/49749758?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,200000.0,,руб.,https://hh.ru
51,Python Developer,https://hh.ru/vacancy/51215380?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,70000.0,200000.0,руб.,https://hh.ru
52,Python (Django) Backend developer,https://hh.ru/vacancy/49139962?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,,270000.0,руб.,https://hh.ru
53,Python Developer с интересом к Machine Learning,https://hh.ru/vacancy/51258131?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,,,,https://hh.ru
54,Middle Python Backend Developer/ ML Разработчик,https://hh.ru/vacancy/51034764?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,150000.0,,руб.,https://hh.ru
55,Разработчик Python,https://hh.ru/vacancy/51255569?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,,,,https://hh.ru
56,Python разработчик,https://hh.ru/vacancy/51643257?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,,,,https://hh.ru
57,Senior Python developer / Старший Python-Разработчик,https://hh.ru/vacancy/47484744?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,250000.0,,руб.,https://hh.ru
58,Python разработчик,https://hh.ru/vacancy/49017151?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,,,,https://hh.ru
59,Разработчик бэкэнд (Python),https://hh.ru/vacancy/50789689?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,100000.0,150000.0,руб.,https://hh.ru
60,Middle Python-разработчик (EdTech-стартап),https://hh.ru/vacancy/51409548?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,140000.0,170000.0,руб.,https://hh.ru
61,Разработчик Python на платежную платформу,https://hh.ru/vacancy/50943512?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,,250000.0,руб.,https://hh.ru
62,Middle Python Developer,https://hh.ru/vacancy/51279257?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,160000.0,200000.0,руб.,https://hh.ru
63,Python разработчик / программист Python (Python Developer),https://hh.ru/vacancy/49149466?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,150000.0,,руб.,https://hh.ru
64,"Backend developer (Go,Python)",https://hh.ru/vacancy/51727677?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,,,,https://hh.ru
65,Python разработчик,https://hh.ru/vacancy/51629618?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,,,,https://hh.ru
66,Python разработчик,https://hh.ru/vacancy/51347062?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,,,,https://hh.ru
67,Python-разработчик,https://hh.ru/vacancy/49397922?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,200000.0,300000.0,руб.,https://hh.ru
68,Python Developer (remote),https://hh.ru/vacancy/50884209?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,150000.0,,руб.,https://hh.ru
69,Разработчик Python,https://hh.ru/vacancy/50991071?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,,,,https://hh.ru
70,Python-разработчик (Middle),https://hh.ru/vacancy/51625774?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,180000.0,220000.0,руб.,https://hh.ru
71,Python developer/Python разработчик,https://hh.ru/vacancy/51733212?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,,,,https://hh.ru
72,Python - разработчик (Django),https://hh.ru/vacancy/50099536?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,,,,https://hh.ru
73,Разработчик Python,https://hh.ru/vacancy/48745437?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,,,,https://hh.ru
74,Senior Python developer (python3.8. + django),https://hh.ru/vacancy/51093436?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,250000.0,300000.0,руб.,https://hh.ru
75,Программист-разработчик Python,https://hh.ru/vacancy/50817835?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,,,,https://hh.ru
76,Python-разработчик,https://hh.ru/vacancy/50611435?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,200000.0,280000.0,руб.,https://hh.ru
77,Python разработчик (QA),https://hh.ru/vacancy/50995571?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,70000.0,150000.0,руб.,https://hh.ru
78,Web-разработчик (python/javascript),https://hh.ru/vacancy/51062287?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,,180000.0,руб.,https://hh.ru
79,Senior Python Backend Engineer,https://hh.ru/vacancy/51224632?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,300000.0,412400.0,руб.,https://hh.ru
80,Python разработчик (Персона),https://hh.ru/vacancy/50731247?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,,,,https://hh.ru
81,Младший разработчик Python / Департамент роботизации,https://hh.ru/vacancy/51621332?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,,,,https://hh.ru
82,Разработчик (Python),https://hh.ru/vacancy/40551245?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,100000.0,160000.0,руб.,https://hh.ru
83,Python разработчик (СберЧат),https://hh.ru/vacancy/51656449?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,,,,https://hh.ru
84,Back-end python программист (удаленно),https://hh.ru/vacancy/45987039?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,200000.0,,руб.,https://hh.ru
85,Middle C++ and Python Developer,https://hh.ru/vacancy/50560990?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,,220000.0,руб.,https://hh.ru
86,"Backend разработчик Python, Flask (Middle+, Удалённо)",https://hh.ru/vacancy/50885320?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,160000.0,250000.0,руб.,https://hh.ru
87,Python разработчик (senior) (backend)/ Backend Team lead,https://hh.ru/vacancy/43941903?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,,500000.0,руб.,https://hh.ru
88,Python-разработчик,https://hh.ru/vacancy/50457227?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,,250000.0,руб.,https://hh.ru
89,Python разработчик (Back-end),https://hh.ru/vacancy/51631948?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,,,,https://hh.ru
90,Python Developer,https://hh.ru/vacancy/49519307?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,120000.0,160000.0,руб.,https://hh.ru
91,Middle-backend Python разработчик / программист,https://hh.ru/vacancy/50967321?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,180000.0,210000.0,руб.,https://hh.ru
92,Python Developer/Инженер по разработке коробочных решений,https://hh.ru/vacancy/49976765?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,150000.0,250000.0,руб.,https://hh.ru
93,Python backend разработчик / Python Developer (Middle-Senior),https://hh.ru/vacancy/50795509?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,140000.0,300000.0,руб.,https://hh.ru
94,Python (FastApi) Backend developer,https://hh.ru/vacancy/51504482?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,,270000.0,руб.,https://hh.ru
95,Python Linux developer (remote),https://hh.ru/vacancy/50895660?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,,4000.0,USD,https://hh.ru
